venue,address,confidence,evidence
"SODA, West Croydon","1 Rosetta Street, West Croydon SA 5008",HIGH,sodaobjects.com/contact - sheet corrected the spelling from 'West Croyden'
"Hygge Studios, Hyde Park","28 Fullarton Road, Norwood SA 5067",HIGH,confirmed by ADW: held at Lo & Co; loandcointeriors.com.au gives 28 Fullarton Rd
"Coldstore, 66 Wyatt St, Adelaide","66 Wyatt Street, Adelaide SA 5000",HIGH,in venue string; enoki.com.au/the-coldstore
"Kaurna Building L3, ADL Uni, ADL CBD","Kaurna Building, Fenn Place, Adelaide SA 5000",MEDIUM,"UniSA City West campus map - street number ""2"" weak | no confirmed street number"
"Fab Workshop, Kent Town","12 King William Street, Kent Town SA 5067",HIGH,lookeast.npsp.sa.gov.au; helpmannacademy.com.au
"Queens Theatre, ADL CBD","Queens Theatre, Gilles Arcade, Adelaide SA 5000",HIGH,Wikipedia; adelaidefestival.com.au - NO street number exists | no street number exists - laneway venue
"The Meeting Hall, ADL CBD","25 Pirie Street, Adelaide SA 5000 (Meeting Hall, Paul Kelly Lane)",HIGH,adelaidetownhall.com.au/room/meeting-hall
"EST Studio, ADL CBD","94 Gilles Street, Adelaide SA 5000",HIGH,Humanitix after-hours-soft-power confirms creativespaces.net.au
"Studio Gram, Brompton","68 Chief Street, Brompton SA 5007",HIGH,studio-gram.com.au/contact; Yellowtrace
"UNBUILT, North Adelaide","Hebart Hall, 104 Jeffcott Street, North Adelaide SA 5006",MEDIUM,architectureau.com; heritage listing 104-118 range
"Lo & Co Interiors, Norwood","28 Fullarton Road, Norwood SA 5067",HIGH,loandcointeriors.com.au/pages/contact-us
"Reform Distilling, Kent Town","91 Little Rundle Street, Kent Town SA 5067",HIGH,rfrm.com.au/pages/contact; southaustralia.com
"Basement Gallery, ADL CBD","12 Kingston Street, Adelaide SA 5000",HIGH,"Humanitix bloom-group-exhibition-adw-2026 (gives 12, not 12-14)"
Thebarton,UNKNOWN,LOW,"roving vehicle, no fixed address published - pin suburb only"
"Dental School, Adelaide University, ADL CBD","Adelaide Health and Medical Sciences Building, North Terrace, Adelaide SA 5000",MEDIUM,adelaide.edu.au/about/school/dentistry - no street number published; NOT the old Frome Rd site | university publishes no street number; NOT the old Frome Rd dental site
"Honeydripper, ADL CBD","11 Frome Street, Adelaide SA 5000",HIGH,Broadsheet; southaustralia.com
"Fabrikate, ADL CBD","14/248 Grenfell Street, Adelaide SA 5000",HIGH,fabrikate.com.au/studio; Houzz
"Terrace Floors, Eastwood","51 Glen Osmond Road, Eastwood SA 5063",HIGH,terracefloors.com.au/contact
"Yitpi Yartapuultiku, Port Adelaide","1300 Old Port Road, Port Adelaide SA 5015",MEDIUM,Adelaide Fringe; cityofpae.sa.gov.au - conflicting Commercial Rd listing rejected
"4th Floor Elevator, ADL CBD","Level 4, 14 Grenfell Street, Adelaide SA 5000",MEDIUM,experienceadelaide/southaustralia - one effective source
"Georgie Shepherd Interior Design, Norwood","46B Beulah Road, Norwood SA 5067",HIGH,"georgieshepherd.com.au/contact - old listings show Magill Rd, superseded"
"Woods Bagot, ADL CBD","Level 14, 11 Waymouth Street, Adelaide SA 5000",HIGH,woodsbagot.com/studios/adelaide
"AGSA, ADL CBD","490 North Terrace, Adelaide SA 5000",HIGH,agsa.sa.gov.au/visit
"Washdog Studios, Kent Town","12 King William Street, Kent Town SA 5067",HIGH,"@washdog.studio - inside fab workshop, same address"
"19 Twin Street, ADL CBD","19 Twin Street, Adelaide SA 5000",HIGH,venue string is the address
"Jam Factory, ADL CBD","19 Morphett Street, Adelaide SA 5000",HIGH,jamfactory.com.au/contact
"Immersive Art and Installation, 63 Light Sq, CBD, ADL","63 Light Square, Adelaide SA 5000",HIGH,venue is ILA (Immersive Light & Art); southaustralia.com
"RF Lux, ADL CBD","149 Flinders Street, Adelaide SA 5000",HIGH,rflux.au/contact
"Common Uncommon, ADL CBD","100 Gilbert Street, Adelaide SA 5000",HIGH,CityMag/InDaily Feb 2026; GlamAdelaide
"Various Locations, East End, ADL CBD","NOT A PLACE - Shopfront Circuit trail, 8 shops around Ebenezer Pl / Rundle St East",HIGH,see circuit stops below
"215 Magill Rd, Maylands","215 Magill Road, Maylands SA 5069",HIGH,215magill.com.au; saha215.com.au
"SODA, West Croyden","1 Rosetta Street, West Croydon SA 5008",HIGH,sodaobjects.com/contact
