name,address,kind,designer,year,why,hannah_note,designer_words,designer_name,link,socials,show
Africola,"4 East Tce, Adelaide SA 5000",fine dining,Studio Gram,2014,Maximalist colour-saturated shebeen that broke Adelaide's beige-and-blonde-timber consensus,,,,,,Y
Ban Ban,"145 Franklin St, Adelaide SA 5000",restaurant,Genesin Studio,2019,Low-tech K-pop minimalism fusing interior and graphic design into one system,,,,,,Y
Bloom,"38 Winwood St, Thebarton SA 5031",bar,Sans-Arc Studio,2020,A floating bar and an arched grill organise a heritage carriage-works shed,,,,,,Y
Clever Little Tailor,"19 Peel St, Adelaide SA 5000",bar,Adam Johnson Design,2013,"Stacked stone left exposed, leather-clad mezzanine; Best Bar Design, EDDA 2014",,,,,,Y
Crown & Anchor Hotel,"196 Grenfell St, Adelaide SA 5000",pub,,1853,The Cranker. The 2024 campaign to save it was the loudest built-environment argument this city has had in decades,,,,,,Y
Cumberland Arms Hotel,"205 Waymouth St, Adelaide SA 5000",pub,H.C. Richardson,1883,"State Heritage-listed; fine entrance hall and staircase, upstairs rooms largely intact",,,,,,Y
Dolly,"246 Unley Rd, Unley SA 5061",fine dining,Genesin Studio,2023,Acid-washed concrete bar and a mirror-chrome acoustic ceiling in an apartment tenancy,,,,,,Y
Exeter Hotel,"246-248 Rundle St, Adelaide SA 5000",pub,,1851,"Green glazed tiles from 1929, a front bar that has barely moved, music continuous since July 1851. Rebuilt in 1888 in Victorian Italianate, architect unrecorded",,,,,,Y
Fino Vino,"82 Flinders St, Adelaide SA 5000",bar,Studio Gram,2019,Stages the collision of country and city for a restaurant group that began in regional SA,,,,,,Y
Fugazzi Bar & Dining Room,"27 Leigh St, Adelaide SA 5000",fine dining,Studio Gram,2021,"Velvet, leather, marble and inlaid stone offcuts; a nostalgic New York supper club",,,,,,Y
Grace Emily Hotel,"232 Waymouth St, Adelaide SA 5000",pub,,1839,Front bar still carries the sloping counter and trough of the six o'clock swill,,,,,,Y
Jasmin Indian Restaurant,"31 Hindmarsh Sq, Adelaide SA 5000",classic,,1981,"Basement room, white cloth, unchanged for forty years and all the better",,,,,,Y
Leigh Street Wine Room,"9 Leigh St, Adelaide SA 5000",bar,Studio Gram,2019,A 3.4 m former dry cleaner given a five-metre barrel vault and a full-height wall of wine,,,,,,Y
Lucia's Pizza & Spaghetti Bar,"Shop 3-4 Western Mall, Adelaide Central Market, 44-60 Gouger St, Adelaide SA 5000",classic,,1957,"Adelaide's first pizza bar, still run by Lucia Rosella's daughters from the same open counter",,,,,,Y
Madre,"57 Gilbert St, Adelaide SA 5000",fine dining,RADS with Voice Design,2020,EDDA Best Restaurant Design shortlist,,,,,,Y
Malt & Juniper,"18 Peel St, Adelaide SA 5000",bar,Sans-Arc Studio,2018,A tiny footprint resolved into one gesture: an oversized back bar with a sliding ladder,,,,,,Y
Maybe Mae,"15 Peel St, Adelaide SA 5000",bar,Claire Kneebone,2015,Disused stock cellar rebuilt as an art-deco den; hidden door in the panelling,,,,,,Y
Mensa,"44 The Parade West, Kent Town SA 5067",bar,Sans-Arc Studio,2024,A low-intervention warehouse conversion stitched to a house by a timber sunroom,,,,,,Y
Omada Bar & Grill,"46 Currie St, Adelaide SA 5000",fine dining,Studio Gram with J.AR Office,2026,AIDA Hospitality Design JOINT NATIONAL WINNER,,,,,,Y
Osteria Oggi,"76 Pirie St, Adelaide SA 5000",fine dining,Studio Gram,2016,"Vaulted archways and a 21 m poured-concrete bar; World Interiors News Best Restaurant Interior, SA Robert Dickson Award",,,,,,Y
Paloma Bar & Pantry,"20 Peel St, Adelaide SA 5000",bar,Claire Kneebone,2019,EDDA Best Bar Design shortlist,,,,,,Y
Part Time Lover,"Paul Kelly Lane, Adelaide SA 5000",bar,Sans-Arc Studio,2019,A timber pavilion in the courtyard between the Town Hall and Pilgrim Uniting Church,,,,,,Y
Peel St,"9 Peel St, Adelaide SA 5000",restaurant,,2012,The laneway restaurant the rest of Peel Street grew around,,,,,,Y
Pink Moon Saloon,"21 Leigh St, Adelaide SA 5000",bar,Sans-Arc Studio (Matiya Marovich),2015,Two timber gable huts in a 4 m bin alley; the best argument in the city for laneway infill,,,,,,Y
Press* Food & Wine,"40 Waymouth St, Adelaide SA 5000",restaurant,Claire Kneebone,2022,"Rendered walls, banquettes and a curved Italian-marble bar; EDDA 2022 shortlist",,,,,,Y
Restaurant Botanic,"Friends Gate, Plane Tree Dr, Adelaide Botanic Garden SA 5000",fine dining,Williams Burton Leopardi,2021,Heritage rotunda reopened around an arched-timber bar and 12-seat chef's table,,,,,,Y
Rob Roy Hotel,"106-110 Halifax St, Adelaide SA 5000",pub,English & Soward (1881 addition),1838,One of SA's oldest licences; the 1840s western section still legible inside later fabric,,,,,,Y
Shobosho,"17 Leigh St, Adelaide SA 5000",fine dining,Studio Gram,2017,"The name means fire house, delivered literally in shou sugi ban charred Baltic pine",,,,,,Y
Sofia,"16 Hutt St, Adelaide SA 5000",fine dining,Sans-Arc Studio,2024,"Cork, terrazzo and hand-formed concrete under a new bullnose verandah; 2025 Marjorie Simpson Award",,,,,,Y
Soi 38,"74 Pirie St, Adelaide SA 5000",restaurant,Walter Brooke with Simon Lobianco,2021,A former Subway reworked around a barrel vault and Thai prayer-flag curtains,,,,,,Y
The Austral Hotel,"205-207 Rundle St, Adelaide SA 5000",pub,W. McMinn,1882,State Heritage-listed; projecting cast-iron verandah and balcony essentially untouched,,,,,,Y
The Duke of York,"82 Currie St, Adelaide SA 5000",pub,,1839,"One of the oldest licences in the city, still a front bar",,,,,,Y
The Light Room,"63 Light Sq, Adelaide SA 5000",bar,Georgie Shepherd Interior Design,2023,"EDDA Best Restaurant Design shortlist; bar, gallery and studio in one",,,,,,Y
The Stag Hotel,"299 Rundle St, Adelaide SA 5000",pub,,1849,State Heritage-listed turret-and-balcony corner; trading over 175 years,,,,,,Y
The Wheatsheaf Hotel,"39 George St, Thebarton SA 5031",pub,,1878,"Plain retro front bar, no pokies, on-site brewery; SA Music Hall of Fame",,,,,,Y
Udaberri,"11 Leigh St, Adelaide SA 5000",bar,,2011,The bar that started Leigh Street; pintxos and a long timber counter,,,,,,Y
Ying Chow,"114 Gouger St, Adelaide SA 5000",classic,,1994,"Unchanged in three decades: laminate tables, walls papered with awards, a queue for the BBC",,,,,,Y
